internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
15873,Pagrus pagrus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,Pagrus,pagrus,,,,,"(Linnaeus, 1758)","Genetic studies of <em>Pagrus pagrus</em> have shown Western Atlantic samples to be more closely related to each other than to samples from the Eastern North Atlantic. Within the Western North Atlantic, no significant population differentiation was observed, and within the eastern North Atlantic, only the Azores sample showed detectable differences from those from Crete and Madeira. These data indicate general homogeneity within large areas, and deep divisions between these areas (Ball <em>et al</em>. 2007)."
167006,Takifugu ocellatus,ANIMALIA,CHORDATA,TETRAODONTIFORMES,ACTINOPTERYGII,TETRAODONTIDAE,Takifugu,ocellatus,,,,,"(Linnaeus, 1758)","The genus <em>Takifugu</em> speciated and radiated in marine waters around China, Korea, and Japan. The highest species density is found in the Bohai Sea, Yellow Sea, and East China Sea, followed by the Sea of Japan and Pacific Coast of Japan, and finally by the South China Sea. Several species have been reported from the Indian Ocean (Yamanoue et al. 2008)."
170283,Spicara smaris,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CENTRACANTHIDAE,Spicara,smaris,,,,,"(Linnaeus, 1758)","The family Centracanthidae will soon be subsumed under the family Sparidae, because the centracanthid fishes are highly polyphyletic with sparid fishes (Chiba&#160;<span style=""font-style: italic;"">et al.</span>&#160;2009, Hanel and Tsigenopoulos 2011, Santini&#160;<em>et al.</em>&#160;2014)."
178938,Enneanectes smithi,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,TRIPTERYGIIDAE,Enneanectes,smithi,,,,,"Lubbock &amp; Edwards, 1981",
185892,Psilotris boehlkei,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,GOBIIDAE,Psilotris,boehlkei,,,,,"Greenfield, 1993",
185903,Tigrigobius dilepis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,GOBIIDAE,Tigrigobius,dilepis,,,,,"(Robins &amp; Böhlke, 1964)","Much of the literature recognizes the genus <span style=""font-style: italic;"">Elacatinus</span> with two   subgenera:<span style=""font-style: italic;"">&#160;Elacatinus </span>and <span style=""font-style: italic;"">Tigrigobius</span>. As such, this species is often   referred to in the literature as <span style=""font-style: italic;"">Elacatinus dilepis.</span>"
185905,Tigrigobius redimiculus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,GOBIIDAE,Tigrigobius,redimiculus,,,,,"(Taylor &amp; Akins, 2007)","Much of the literature recognizes the genus <span style=""font-style: italic;"">Elacatinus</span> with two   subgenera:<span style=""font-style: italic;"">&#160;Elacatinus </span>and <span style=""font-style: italic;"">Tigrigobius</span>. As such, this species is often  referred to in the literature as <span style=""font-style: italic;"">Elacatinus redimiculus</span>&#160;(Taylor and Akins 2007)."
185909,Varicus marilynae,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,GOBIIDAE,Varicus,marilynae,,,,,"Gilmore, 1979",
185923,Apogon binotatus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,APOGONIDAE,Apogon,binotatus,,,,,"(Poey, 1867)",
185925,Apogon aurolineatus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,APOGONIDAE,Apogon,aurolineatus,,,,,"(Mowbray, 1927)",
185926,Apogon lachneri,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,APOGONIDAE,Apogon,lachneri,,,,,"Böhlke, 1959",
185927,Apogon leptocaulus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,APOGONIDAE,Apogon,leptocaulus,,,,,"Gilbert, 1972",
185929,Apogon robinsi,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,APOGONIDAE,Apogon,robinsi,,,,,"Böhlke &amp; Randall, 1968",
185930,Apogon gouldi,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,APOGONIDAE,Apogon,gouldi,,,,,"Smith-Vaniz, 1977",
185932,Apogon mosavi,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,APOGONIDAE,Apogon,mosavi,,,,,"Dale, 1977",
185934,Apogon phenax,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,APOGONIDAE,Apogon,phenax,,,,,"Böhlke &amp; Randall, 1968",
185936,Apogon townsendi,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,APOGONIDAE,Apogon,townsendi,,,,,"(Breder, 1927)",
185937,Apogon maculatus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,APOGONIDAE,Apogon,maculatus,,,,,"(Poey, 1860)",
185938,Apogon pillionatus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,APOGONIDAE,Apogon,pillionatus,,,,,"Böhlke &amp; Randall, 1968",
